Variation,v_ego,v_target,t_cut_in,a_target,R_cut_in
917,110,90,1,-6,10
918,110,90,1,-6,20
919,110,90,1,-6,30
920,110,90,1,-6,40
921,110,90,1,-6,50
922,110,90,1,-4,10
923,110,90,1,-4,20
924,110,90,1,-4,30
925,110,90,1,-4,40
926,110,90,1,-4,50
927,110,90,1,-2,10
928,110,90,1,-2,20
929,110,90,1,-2,30
930,110,90,1,-2,40
931,110,90,1,-2,50
932,110,90,1,0,10
933,110,90,1,0,20
934,110,90,1,0,30
935,110,90,1,0,40
936,110,90,1,0,50
937,110,90,2,-8,10
938,110,90,2,-8,20
939,110,90,2,-8,30
940,110,90,2,-8,40
941,110,90,2,-8,50
942,110,90,2,-6,10
943,110,90,2,-6,20
944,110,90,2,-6,30
945,110,90,2,-6,40
946,110,90,2,-6,50
947,110,90,2,-4,10
948,110,90,2,-4,20
949,110,90,2,-4,30
950,110,90,2,-4,40
951,110,90,2,-4,50
952,110,90,2,-2,10
953,110,90,2,-2,20
954,110,90,2,-2,30
955,110,90,2,-2,40
956,110,90,2,-2,50
957,110,90,2,0,10
958,110,90,2,0,20
959,110,90,2,0,30
960,110,90,2,0,40
961,110,90,2,0,50
962,110,90,3,-8,10
963,110,90,3,-8,20
964,110,90,3,-8,30
965,110,90,3,-8,40
966,110,90,3,-8,50
967,110,90,3,-6,10
968,110,90,3,-6,20
969,110,90,3,-6,30
970,110,90,3,-6,40
971,110,90,3,-6,50
972,110,90,3,-4,10
973,110,90,3,-4,20
974,110,90,3,-4,30
975,110,90,3,-4,40
976,110,90,3,-4,50
977,110,90,3,-2,10
978,110,90,3,-2,20
979,110,90,3,-2,30
980,110,90,3,-2,40
981,110,90,3,-2,50
982,110,90,3,0,10
983,110,90,3,0,20
984,110,90,3,0,30
985,110,90,3,0,40
986,110,90,3,0,50
987,110,90,4,-8,20
988,110,90,4,-8,30
989,110,90,4,-8,40
990,110,90,4,-8,50
991,110,90,4,-6,20
992,110,90,4,-6,30
993,110,90,4,-6,40
994,110,90,4,-6,50
995,110,90,4,-4,10
996,110,90,4,-4,20
997,110,90,4,-4,30
998,110,90,4,-4,40
999,110,90,4,-4,50
1000,110,90,4,-2,10
1001,110,90,4,-2,20
1002,110,90,4,-2,30
1003,110,90,4,-2,40
1004,110,90,4,-2,50
1005,110,90,4,0,10
1006,110,90,4,0,20
1007,110,90,4,0,30
1008,110,90,4,0,40
1009,110,90,4,0,50
1010,110,90,5,-8,20
1011,110,90,5,-8,30
1012,110,90,5,-8,40
1013,110,90,5,-8,50
1014,110,90,5,-6,20
1015,110,90,5,-6,30
1016,110,90,5,-6,40
1017,110,90,5,-6,50
1018,110,90,5,-4,20
1019,110,90,5,-4,30
1020,110,90,5,-4,40
1021,110,90,5,-4,50
1022,110,90,5,-2,20
1023,110,90,5,-2,30
1024,110,90,5,-2,40
1025,110,90,5,-2,50
1026,110,90,5,0,20
1027,110,90,5,0,30
1028,110,90,5,0,40
1029,110,90,5,0,50
